htc_A1,htc_A2,htc_B1,htc_B2,htc_C1,T_amb_A1,T_amb_A2,T_amb_B1,T_amb_B2,T_amb_C1,epsilon,sigma
30.0,30.0,40.0,30.0,30.0,868.0,838.0,812.0,764.0,748.0,0.75,4.67e-08
40.0,40.0,40.0,30.0,40.0,868.0,846.0,800.0,770.0,748.0,0.8,4.67e-08
40.0,40.0,30.0,30.0,40.0,868.0,838.0,812.0,764.0,748.0,0.75,4.67e-08
40.0,30.0,30.0,40.0,30.0,868.0,846.0,800.0,764.0,740.0,0.8,3.67e-08
40.0,40.0,40.0,40.0,30.0,868.0,838.0,812.0,764.0,748.0,0.75,3.67e-08
40.0,40.0,40.0,30.0,40.0,860.0,846.0,812.0,764.0,748.0,0.75,4.67e-08
40.0,40.0,40.0,30.0,30.0,860.0,838.0,812.0,770.0,740.0,0.75,3.67e-08
40.0,30.0,30.0,30.0,30.0,868.0,846.0,812.0,764.0,748.0,0.75,4.67e-08
30.0,40.0,40.0,40.0,40.0,860.0,846.0,800.0,764.0,740.0,0.75,3.67e-08
30.0,40.0,30.0,30.0,30.0,860.0,846.0,812.0,770.0,748.0,0.75,4.67e-08
30.0,40.0,40.0,40.0,30.0,868.0,838.0,812.0,770.0,748.0,0.75,3.67e-08
40.0,30.0,30.0,40.0,40.0,868.0,838.0,800.0,764.0,748.0,0.75,3.67e-08
40.0,30.0,40.0,30.0,40.0,868.0,846.0,812.0,770.0,740.0,0.8,3.67e-08
30.0,30.0,30.0,40.0,40.0,868.0,838.0,800.0,770.0,740.0,0.8,4.67e-08
40.0,30.0,40.0,30.0,30.0,868.0,846.0,812.0,770.0,740.0,0.75,4.67e-08
40.0,40.0,30.0,30.0,40.0,868.0,846.0,800.0,770.0,740.0,0.8,3.67e-08
